initial_alias,converted_alias
NM_001297620,243558_at
NM_001102399,232004_at
NM_001102399,243558_at
NM_001297621,232004_at
NM_001297621,243558_at
NM_001102398,232004_at
NM_001102398,243558_at
NM_005826,232004_at
NM_005826,243558_at
NM_001297622,232004_at
NM_001297622,243558_at
NM_000147,None
NM_017707,None
NM_001102397,232004_at
NM_001102397,243558_at
NM_001143778,None
NM_001199014,227694_at
NM_001199014,233693_at
NM_178122,227694_at
NM_178122,233693_at
NM_001199012,227694_at
NM_001199012,233693_at
NM_001199013,227694_at
NM_001199013,233693_at
NM_001251984,226272_at
NM_001251984,229064_s_at
NM_001251983,226272_at
NM_001251983,229064_s_at
NM_001320672,234928_x_at
NM_001031680,234928_x_at
NM_001251979,226272_at
NM_001251979,229064_s_at
NM_013943,None
NM_004350,234928_x_at
NM_001251981,226272_at
NM_001251981,229064_s_at
NM_013441,226272_at
NM_013441,229064_s_at
NM_001251978,226272_at
NM_001251978,229064_s_at
NM_001251977,226272_at
NM_001251977,229064_s_at
NM_001321772,None
NM_001099627,224280_s_at
NM_001282869,None
NM_019557,224280_s_at
NM_015627,None
NM_001282872,None
NM_001289010,None
NM_020379,None
NM_001282871,None
NM_001127691,None
NM_001282870,None
NM_001282867,None
NM_001282868,None
NM_016124,None
NM_001099626,224280_s_at
NM_001099625,224280_s_at
NM_003047,None
NM_005517,None
NM_006015,None
NM_001013642,227862_at
NM_001039775,None
NM_139135,None
NM_005281,None
NM_001164722,227184_at
NM_177424,None
NM_001164721,227184_at
NM_001990,226170_at
NM_001282560,226170_at
NM_001282561,226170_at
NM_001282562,226170_at
NM_000911,None
NM_001350161,226823_at
NM_001350158,226823_at
NM_001048183,226823_at
NM_001024732,None
NM_017846,222800_at
NM_203342,225051_at
NM_203342,236379_at
NM_001166005,225051_at
NM_001166005,236379_at
NM_001166006,225051_at
NM_001166006,236379_at
NM_203343,225051_at
NM_203343,236379_at
NM_001350159,226823_at
NM_006582,230613_at
NM_006582,235232_at
NM_006582,235233_s_at
NM_001319674,230613_at
NM_001319674,235232_at
NM_001319674,235233_s_at
NM_001349717,None
NM_001349716,None
NM_001349715,None
NM_001166007,225051_at
NM_001166007,236379_at
NM_016011,None
NM_004437,225051_at
NM_004437,236379_at
NM_001349714,None
NM_001350160,226823_at
NM_023923,226823_at
NM_001349712,None
NM_001349711,None
NM_024482,230613_at
NM_024482,235232_at
NM_024482,235233_s_at
NM_001349713,None
NM_024522,None
NM_001282567,223107_s_at
NM_001282567,223108_s_at
NM_001282566,223107_s_at
NM_001282566,223108_s_at
NM_001282570,223107_s_at
NM_001282570,223108_s_at
NM_001282572,223107_s_at
NM_001282572,223108_s_at
NM_001282571,223107_s_at
NM_001282571,223108_s_at
NM_001282574,223107_s_at
NM_001282574,223108_s_at
NM_001282573,223107_s_at
NM_001282573,223108_s_at
NM_014676,None
NM_001282568,223107_s_at
NM_001282568,223108_s_at
NM_016505,223107_s_at
NM_016505,223108_s_at
NM_001282569,223107_s_at
NM_001282569,223108_s_at
NM_001020658,None
NM_001300958,None
NM_001143889,None
NM_018045,None
NM_012316,226976_at
NM_001143888,None
NM_001143890,None
NM_001366264,228970_at
NM_001366269,228970_at
NM_001366270,228970_at
NM_001366271,228970_at
NM_001330483,None
NM_001329722,225536_at
NM_001308135,228970_at
NM_001198973,224746_at
NM_001319143,None
NM_178547,228970_at
NM_001329725,225536_at
NM_001366266,228970_at
NM_001366265,228970_at
NM_001366258,228970_at
NM_001366259,228970_at
NM_001366260,228970_at
NM_013411,None
NM_001319142,None
NM_001319141,None
NM_001366268,228970_at
NM_001366267,228970_at
NM_152493,226820_at
NM_020888,224746_at
NM_001330475,228970_at
NM_001319140,None
NM_001329724,225536_at
NM_001308138,228970_at
NM_001308137,228970_at
NM_001308136,228970_at
NM_001308141,228970_at
NM_001308140,228970_at
NM_001308139,228970_at
NM_001199199,None
NM_001366263,228970_at
NM_001319139,None
NM_001625,None
NM_001329723,225536_at
NM_018207,None
NM_001366278,None
NM_001366257,228970_at
NM_001366256,228970_at
NM_001366255,228970_at
NM_001198972,224746_at
NM_001369553,224746_at
NM_001370212,226820_at
NM_033504,225536_at
NM_001134734,231514_at
NM_032884,231514_at
NM_007167,227594_at
NM_007167,227595_at
NM_001350138,None
NM_001350139,None
