initial_alias	converted_alias
NM_017766	CASZ1
NM_004958	MTOR
NM_001079843	CASZ1
NM_018156	VPS13D
NM_005957	MTHFR
NM_001066	TNFRSF1B
NM_018438	FBXO6
NM_015378	VPS13D
NM_001330358	MTHFR
NM_001010847	LRRC38
NM_001099790	PRAMEF19
NM_015866	PRDM2
NM_001135610	PRDM2
NM_012231	PRDM2
NM_001007257	PRDM2
NM_001136218	TMEM51
NM_001136217	TMEM51
NM_018022	TMEM51
NM_052929	FHAD1
NM_001370231	KAZN
NM_001018000	KAZN
NM_033440	CELA2A
NM_001136216	TMEM51
NM_001319665	TMEM51
NM_001018001	KAZN
NM_001370229	KAZN
NM_001271869	SZRD1
NM_015001	SPEN
NM_018994	FBXO42
NM_001114600	SZRD1
NM_001011722	ARHGEF10L
NM_001319837	ARHGEF10L
NM_001328124	ARHGEF10L
NM_001319838	ARHGEF10L
NM_018715	RCC2
NM_003000	SDHB
NM_001136204	RCC2
NM_018125	ARHGEF10L
NM_152375	KLHDC7A
NM_001135254	PAX7
NM_032880	IGSF21
NM_001349115	None
NM_001349113	TMCO4
NM_001206541	CAPZB
NM_181719	TMCO4
NM_001282162	CAPZB
NM_001206540	CAPZB
NM_001348421	None
NM_001349114	TMCO4
NM_004930	CAPZB
NM_001313932	None
NM_001349112	TMCO4
NM_020765	UBR4
NM_001039500	VWA5B1
NM_020816	KIF17
NM_001122819	KIF17
NM_001287212	KIF17
NM_001113348	ECE1
NM_001113349	ECE1
NM_001330383	RAP1GAP
NM_001350528	RAP1GAP
NM_001350525	RAP1GAP
NM_001113347	ECE1
NM_001350527	RAP1GAP
NM_002885	RAP1GAP
NM_001145658	RAP1GAP
NM_001350167	USP48
NM_001397	ECE1
NM_001330394	USP48
NM_001350524	RAP1GAP
NM_001350168	USP48
NM_001145657	RAP1GAP
NM_001350164	USP48
NM_001291860	HSPG2
NM_005529	HSPG2
NM_001350526	RAP1GAP
NM_032236	USP48
NM_001032730	USP48
NM_001350166	USP48
NM_017449	EPHB2
NM_004442	EPHB2
NM_001309192	EPHB2
NM_001309193	EPHB2
NM_001297620	HNRNPR
NM_001102399	HNRNPR
NM_001297621	HNRNPR
NM_001102398	HNRNPR
NM_005826	HNRNPR
NM_001297622	HNRNPR
NM_000147	FUCA1
NM_017707	ASAP3
NM_001102397	HNRNPR
NM_001143778	ASAP3
NM_001199014	STPG1
NM_178122	STPG1
NM_001199012	STPG1
NM_001199013	STPG1
NM_001251984	RCAN3
NM_001251983	RCAN3
NM_001320672	RUNX3
NM_001031680	RUNX3
NM_001251979	RCAN3
NM_013943	CLIC4
NM_004350	RUNX3
NM_001251981	RCAN3
NM_013441	RCAN3
NM_001251978	RCAN3
NM_001251977	RCAN3
NM_001321772	RSRP1
NM_001099627	MTFR1L
NM_001282869	RHD
NM_019557	MTFR1L
NM_015627	LDLRAP1
NM_001282872	RHD
NM_001289010	MAN1C1
NM_020379	MAN1C1
NM_001282871	RHD
NM_001127691	RHD
NM_001282870	RHD
NM_001282867	RHD
NM_001282868	RHD
NM_016124	RHD
NM_001099626	MTFR1L
NM_001099625	MTFR1L
NM_003047	SLC9A1
NM_005517	HMGN2
NM_006015	ARID1A
NM_001013642	TRNP1
NM_001039775	CRYBG2
NM_139135	ARID1A
NM_005281	GPR3
NM_001164722	PTAFR
NM_177424	STX12
NM_001164721	PTAFR
NM_001990	EYA3
NM_001282560	EYA3
NM_001282561	EYA3
